t0,t1,t2,t3,t4,t5
2.760460241861298902e-01,1.683770104845422888e-01,1.789005736398262547e-01,2.932989006977628765e-01,8.843600655658067078e-01,4.657789816922405635e+01
2.758922795466801636e-01,1.691011559156950506e-01,1.796699781604260415e-01,2.931355470183474310e-01,8.848101038052075262e-01,4.659158523336167690e+01
2.761388648704583559e-01,1.696639971686215720e-01,1.802679969916604619e-01,2.933975439248620587e-01,8.833541925009427143e-01,4.662711687354990886e+01
2.757535190263335489e-01,1.701851941635037779e-01,1.808217687987227207e-01,2.929881139654795241e-01,8.777529811874736909e-01,4.670699813181062865e+01
2.752924126211710454e-01,1.707165296930850951e-01,1.813863127989028823e-01,2.924981884099943641e-01,8.699078847577000895e-01,4.680275530587695698e+01
2.709133899135003909e-01,1.708439812428554083e-01,1.815217300705338488e-01,2.878454767830942451e-01,8.597063724821546460e-01,4.691749811666619507e+01
2.621219565632498805e-01,1.702844215536121752e-01,1.809271979007129050e-01,2.785045788484529217e-01,8.493416379394845839e-01,4.703847003127896187e+01
2.524958605673134904e-01,1.742387998173026975e-01,1.851287248058842150e-01,2.682768518527702817e-01,8.412863263149596982e-01,4.715050851489378658e+01
2.400444694284968594e-01,1.789896304988109477e-01,1.901764824049867464e-01,2.550472487677779565e-01,8.334648448418371380e-01,4.726161941110156306e+01
2.282179314465510034e-01,1.814138706984994298e-01,1.927522376171557361e-01,2.424815521619603786e-01,8.274884529219076468e-01,4.743039918634729446e+01
2.207675212083134719e-01,1.826566636737134430e-01,1.940727051533205627e-01,2.345654912838330275e-01,8.248986488472561662e-01,4.769490641457407065e+01
2.162481901410714114e-01,1.845063444747278847e-01,1.960379910043982821e-01,2.297637020248883832e-01,8.234924304514363858e-01,4.792760332234812637e+01
2.132247717038132373e-01,1.873068833354723239e-01,1.990135635439393702e-01,2.265513199353015317e-01,8.231284544949121207e-01,4.811897436951509377e+01
2.123097658380805608e-01,1.891138435193467082e-01,2.009334587393058758e-01,2.255791262029606947e-01,8.228571038283717387e-01,4.827466015331141591e+01
2.164916912475731703e-01,1.911558988339157050e-01,2.031031425110355892e-01,2.300224219505462853e-01,8.227318082570745927e-01,4.839750347594952729e+01
2.211946398249757251e-01,1.938152526259292741e-01,2.059287059150499977e-01,2.350193048140366003e-01,8.227380825151168198e-01,4.852546267427146631e+01
2.282493878488164596e-01,1.949170571943429908e-01,2.070993732689894173e-01,2.425149745893675490e-01,8.230172240854781718e-01,4.861120998391854897e+01
2.392956905554804448e-01,1.939232937295896908e-01,2.060434995876890829e-01,2.542516712151980940e-01,8.233664333364295596e-01,4.866169576834584376e+01
2.510780547574504307e-01,1.921233055911951704e-01,2.041310121906449448e-01,2.667704331797911554e-01,8.244317174869696396e-01,4.865565980796185386e+01
2.621502577423863722e-01,1.905710540601795455e-01,2.024817449389409163e-01,2.785346488512854823e-01,8.243120210556540428e-01,4.868262471756597876e+01
2.692683043541270194e-01,1.909755971642929095e-01,2.029115719870611678e-01,2.860975733762600726e-01,8.241988363339129986e-01,4.872163959082916307e+01
2.706899194171262235e-01,1.922751984773545531e-01,2.042923983821891831e-01,2.876080393806965119e-01,8.241477135083420391e-01,4.881339878191232629e+01
