time,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17
2.950000,2.007053,2.016531,2.028866,2.015099,2.003757,1.984244,2.003095,1.908884,0.124153,0.101500,0.035741,0.077459,0.181297,0.132695,1.229598,1.285314,0.994974
2.966667,2.007046,2.016813,2.028848,2.015385,2.003525,1.984371,2.002971,1.909438,0.123370,0.102975,0.035703,0.077900,0.180451,0.131963,1.231110,1.279903,1.010991
2.983333,2.007033,2.017076,2.028847,2.015638,2.003326,1.984313,2.002884,1.909862,0.122934,0.104213,0.035561,0.078214,0.180658,0.131418,1.195245,1.276479,1.020600
3.000000,2.007015,2.017022,2.028864,2.016175,2.003128,1.984185,2.002798,1.910144,0.119962,0.104177,0.035370,0.079704,0.181648,0.131015,1.139539,1.274598,1.042361
3.016667,2.006982,2.017011,2.028906,2.016891,2.002848,1.984036,2.002729,1.910365,0.116209,0.104409,0.035160,0.081519,0.184201,0.130452,1.099407,1.273615,1.070823
3.033333,2.006947,2.016963,2.028998,2.017816,2.002501,1.983906,2.002701,1.910548,0.111968,0.104911,0.034939,0.083590,0.187204,0.129914,1.066806,1.273752,1.106400
3.050000,2.006924,2.016864,2.029149,2.018473,2.002279,1.983760,2.002688,1.910695,0.109594,0.105389,0.034743,0.085036,0.189966,0.129558,1.038229,1.274917,1.128636
3.066667,2.006919,2.016759,2.029277,2.018949,2.002129,1.983560,2.002684,1.910825,0.108474,0.105950,0.034577,0.086098,0.192381,0.129473,1.013014,1.275923,1.142194
3.083333,2.006918,2.016629,2.029389,2.019358,2.002029,1.983335,2.002668,1.910940,0.108382,0.106117,0.034445,0.086270,0.194576,0.129471,0.991229,1.276630,1.152585
3.100000,2.006915,2.016748,2.029280,2.019714,2.001957,1.983085,2.002630,1.911038,0.108736,0.106122,0.034484,0.086097,0.196475,0.129381,0.974604,1.263982,1.160372
3.116667,2.006908,2.017074,2.028884,2.019992,2.001895,1.982848,2.002605,1.911121,0.109098,0.106223,0.034705,0.086019,0.198097,0.129191,0.963138,1.237807,1.165117
